OBJECTID,Project_Na,Promoter_N,Project_Ty,Category,Commission,Share_of_t,Location,Increment,Peak_Incre,Descriptio,Website,Shape__Length,PCI_PMI,country,,
1,AquaDuctus,GASCADE Gastransport GmbH (Fluxys),New,Transmission,2030,100,"The offshore pipeline part is going throughout the German North Sea landing in the area of Wilhelmshaven where the onshore pipeline part is going to cross-border IP Bunde GER/NL, connecting to downstream H2 network. 400 km offshore & 100 km onshore.",480,480,The project transports green H2 from electrolysis in the North Sea + H2 imports from the North Sea countries (e.g. DEN/NOR/NL/GB) via the AquaDuctus onshore pipeline part to the IP Bunde GER/NL and connecting to the German downstream H2 network.,https://aquaductus-offshore.de/,706573.8306,PCI,DE/BE,,24154734.59
2,SK-HU H2 corridor,"eustream, a.s.",New,Transmission,2029,100,No data available,100,100,"Hydrogen corridor between SK and HU, connected to the Slovak Hydrogen Backbone (HYD-N-1264). The SK-HU H2 corridor supports further development of hydrogen market and security of supply in CEE/SEE. The project is part of SEEHyCorridor initiative.",https://www.eustream.sk/en/,23765.30534,PCI,SK,,53677651.86
3,Black Sea - Podisor Pipeline modernization for hydrogen transmission,SNTGN Transgaz SA,Conversion of existing infrastructure,Transmission,2042,No data available,"Amzacea - Podisor
Black Sea - Amzacea",No data available,No data available,This project will include conversion of exisiting infrastructure pipeline between Black Sea  - Podior. The project connects a potential hydrogen production area with Negru Vod - Isaccea corridor and also with Giurgiu  - Ndlac corridor.,https://www.transgaz.ro/en,343805.3117,No,RO,,0.449996111
4,HU hydrogen corridor I HU/UA,FGSZ Ltd.,Conversion of existing infrastructure,Transmission,2040,No data available,No data available,150,150,"The project includes repurposing of 7 existing natural gas pipelines in Eastern HU and repurposing 3 existing compressor stations/units or building new compressor units, depending on demand.",https://fgsz.hu/en,311209.6001,No,HU,,
6,Central European Hydrogen Corridor (UKR part),LLC Gas TSO of Ukraine (Eustream s.a. - NET4GAS s.r.o. - Open Grid Europe GmbH),Conversion of existing infrastructure,Transmission,2029,100,"Bohorodchany, Ivano-Frankivsk region - from Bohorodchany to the cross-border point Veľké Kapušany",144,144,"The CEHC aims to create an infrastructure for transportation of green hydrogen from Ukraine to DE via SK and CZ. The project's objective in UA is to transport hydrogen from the country's promising production areas IP Uzhhorod, situated on UA-SK border.",https://www.cehc.eu/en/home/,228347.2915,PCI,UA/DE/CZ/SK,,
7,Route Breclav - CZ/AT border,"NET4GAS, s.r.o.",New,Transmission,2040,100,Breclav – CZ/AT border,No data available,No data available,Route Breclav - CZ/AT border is considered for the transport of H2 within the framework of the European Hydrogen Backbone (EHB) initiative.,No data available,14578.94896,No,CZ,,
8,Hyperlink 3 Danish-German Hydrogen Network - German part,Gasunie Deutschland Transport Services GmbH,Mix,Transmission,2028,100,Germany,103,103,"The project will develop an open access, cross-border H2 backbone in Northern DE that will connect H2 producers, cross-border points between NL-DE and later DE-DK, storage facilities, and industrial consumers in Northern DE via repurposed pipelines.",https://www.gasunie.de/en/the-company/gasunie-deutschland/project-hyperlink,312776.8594,PCI,DE,,
9,Hyperlink 1-2,Gasunie Deutschland Transport Services GmbH,Mix,Transmission,2027,100,Germany,96,96,"The project will develop an open access, cross-border H2 backbone in Northern DE that will connect H2 producers, cross-border points between NL-DE and later DE-DK, storage facilities, and industrial consumers in Northern DE via repurposed pipelines.",https://www.hyperlink-gasunie.de/en/about-hyperlink/hyperlink-1---2,588958.0149,PCI,DE,,
10,Negru Voda – Isaccea corridor modernization for  hydrogen transmission,SNTGN Transgaz SA,Conversion of existing infrastructure,Transmission,2040,100,No data available,No data available,No data available,The project will include conversion of existing pipeline Vadu T1. The project connects a potential H2 production area with Negru Vod Isaccea corridor.,https://www.transgaz.ro/en,258276.4751,No,RO,,
11,DHUNE (Dunkirk Hydrogen Universal NEtwork),Natran,New,Transmission,2032,100,Port of Dunkirk,48,48,The project aims to develop H2 transmission network via pipeline in Port of Dunkirk to connect emerging low-carbon H2 production and consumption projects. The ambition is to develop a 30 km long infrastructure from West to East of the Port,https://www.natrangroupe.com/notre-transition-energetique/transport-hydrogene/dhune,45237.77265,PCI,FR,,
